dataset,size,algorithm,time_us,char_ops,sorted
random,2200,string_quick_sort,69,24296,yes
random,2200,string_merge_sort,633,52323,yes
random,2200,msd_radix_sort,338,10296,yes
random,2200,msd_radix_quick_sort,109,15129,yes
random,2300,standard_quick_sort,186,37792,yes
random,2300,standard_merge_sort,667,32226,yes
random,2300,string_quick_sort,71,25615,yes
random,2300,string_merge_sort,680,55068,yes
random,2300,msd_radix_sort,360,10830,yes
random,2300,msd_radix_quick_sort,111,15948,yes
random,2400,standard_quick_sort,196,42221,yes
random,2400,standard_merge_sort,700,33979,yes
random,2400,string_quick_sort,76,28441,yes
random,2400,string_merge_sort,713,57980,yes
random,2400,msd_radix_sort,376,11344,yes
random,2400,msd_radix_quick_sort,118,16885,yes
random,2500,standard_quick_sort,204,41593,yes
random,2500,standard_merge_sort,727,35695,yes
random,2500,string_quick_sort,84,28717,yes
random,2500,string_merge_sort,750,60843,yes
random,2500,msd_radix_sort,395,11866,yes
random,2500,msd_radix_quick_sort,123,17755,yes
random,2600,standard_quick_sort,222,44231,yes
random,2600,standard_merge_sort,769,37410,yes
random,2600,string_quick_sort,87,29256,yes
random,2600,string_merge_sort,792,63730,yes
random,2600,msd_radix_sort,420,12410,yes
random,2600,msd_radix_quick_sort,129,18627,yes
random,2700,standard_quick_sort,228,47068,yes
random,2700,standard_merge_sort,809,39219,yes
random,2700,string_quick_sort,97,30895,yes
random,2700,string_merge_sort,816,66714,yes
random,2700,msd_radix_sort,442,12968,yes
random,2700,msd_radix_quick_sort,137,19409,yes
random,2800,standard_quick_sort,240,48143,yes
random,2800,standard_merge_sort,850,40988,yes
random,2800,string_quick_sort,98,32546,yes
random,2800,string_merge_sort,872,69642,yes
random,2800,msd_radix_sort,466,13518,yes
random,2800,msd_radix_quick_sort,138,20417,yes
random,2900,standard_quick_sort,258,52046,yes
random,2900,standard_merge_sort,887,42745,yes
random,2900,string_quick_sort,104,33107,yes
random,2900,string_merge_sort,898,72551,yes
random,2900,msd_radix_sort,484,14070,yes
random,2900,msd_radix_quick_sort,143,21288,yes
random,3000,standard_quick_sort,264,53207,yes
random,3000,standard_merge_sort,909,44452,yes
random,3000,string_quick_sort,115,35382,yes
random,3000,string_merge_sort,914,75388,yes
random,3000,msd_radix_sort,509,14620,yes
random,3000,msd_radix_quick_sort,157,22278,yes
reverse_sorted,100,standard_quick_sort,12,6758,yes
reverse_sorted,100,standard_merge_sort,15,666,yes
reverse_sorted,100,string_quick_sort,1,1101,yes
reverse_sorted,100,string_merge_sort,13,1022,yes
reverse_sorted,100,msd_radix_sort,17,488,yes
reverse_sorted,100,msd_radix_quick_sort,5,1669,yes
reverse_sorted,200,standard_quick_sort,44,23835,yes
reverse_sorted,200,standard_merge_sort,30,1463,yes
reverse_sorted,200,string_quick_sort,3,2920,yes
