dataset,size,algorithm,time_us,char_ops,sorted
almost_sorted,3000,msd_radix_sort,604,14464,yes
almost_sorted,3000,msd_radix_quick_sort,182,27415,yes
common_prefix,100,standard_quick_sort,13,12063,yes
common_prefix,100,standard_merge_sort,26,11478,yes
common_prefix,100,string_quick_sort,3,2668,yes
common_prefix,100,string_merge_sort,25,12022,yes
common_prefix,100,msd_radix_sort,51,4340,yes
common_prefix,100,msd_radix_quick_sort,36,4298,yes
common_prefix,200,standard_quick_sort,33,31655,yes
common_prefix,200,standard_merge_sort,56,27322,yes
common_prefix,200,string_quick_sort,7,5474,yes
common_prefix,200,string_merge_sort,60,28613,yes
common_prefix,200,msd_radix_sort,90,8780,yes
common_prefix,200,msd_radix_quick_sort,56,8730,yes
common_prefix,300,standard_quick_sort,58,58222,yes
common_prefix,300,standard_merge_sort,96,44334,yes
common_prefix,300,string_quick_sort,12,8478,yes
common_prefix,300,string_merge_sort,99,46425,yes
common_prefix,300,msd_radix_sort,132,13226,yes
common_prefix,300,msd_radix_quick_sort,83,13230,yes
common_prefix,400,standard_quick_sort,77,73566,yes
common_prefix,400,standard_merge_sort,136,63305,yes
common_prefix,400,string_quick_sort,16,11400,yes
common_prefix,400,string_merge_sort,142,66286,yes
common_prefix,400,msd_radix_sort,171,17678,yes
common_prefix,400,msd_radix_quick_sort,109,17758,yes
common_prefix,500,standard_quick_sort,100,98400,yes
common_prefix,500,standard_merge_sort,176,82295,yes
common_prefix,500,string_quick_sort,21,14639,yes
common_prefix,500,string_merge_sort,187,86166,yes
common_prefix,500,msd_radix_sort,200,22108,yes
common_prefix,500,msd_radix_quick_sort,139,22322,yes
common_prefix,600,standard_quick_sort,130,124958,yes
common_prefix,600,standard_merge_sort,232,102179,yes
common_prefix,600,string_quick_sort,26,18210,yes
common_prefix,600,string_merge_sort,235,106982,yes
common_prefix,600,msd_radix_sort,251,26552,yes
common_prefix,600,msd_radix_quick_sort,173,26913,yes
common_prefix,700,standard_quick_sort,156,144797,yes
common_prefix,700,standard_merge_sort,274,122774,yes
common_prefix,700,string_quick_sort,31,21532,yes
common_prefix,700,string_merge_sort,279,128541,yes
common_prefix,700,msd_radix_sort,265,30998,yes
common_prefix,700,msd_radix_quick_sort,165,31581,yes
common_prefix,800,standard_quick_sort,151,168409,yes
common_prefix,800,standard_merge_sort,269,143881,yes
common_prefix,800,string_quick_sort,30,23863,yes
common_prefix,800,string_merge_sort,281,150635,yes
common_prefix,800,msd_radix_sort,263,35436,yes
common_prefix,800,msd_radix_quick_sort,197,36238,yes
common_prefix,900,standard_quick_sort,180,191283,yes
common_prefix,900,standard_merge_sort,289,164437,yes
common_prefix,900,string_quick_sort,33,26604,yes
common_prefix,900,string_merge_sort,309,172152,yes
common_prefix,900,msd_radix_sort,288,39884,yes
common_prefix,900,msd_radix_quick_sort,208,40908,yes
common_prefix,1000,standard_quick_sort,201,223070,yes
common_prefix,1000,standard_merge_sort,341,186139,yes
common_prefix,1000,string_quick_sort,39,30399,yes
common_prefix,1000,string_merge_sort,351,194868,yes
common_prefix,1000,msd_radix_sort,308,44350,yes
common_prefix,1000,msd_radix_quick_sort,232,45587,yes
common_prefix,1100,standard_quick_sort,221,251977,yes
common_prefix,1100,standard_merge_sort,385,207734,yes
common_prefix,1100,string_quick_sort,43,33035,yes
common_prefix,1100,string_merge_sort,391,217470,yes
common_prefix,1100,msd_radix_sort,341,48812,yes
common_prefix,1100,msd_radix_quick_sort,252,50360,yes
common_prefix,1200,standard_quick_sort,247,282252,yes
common_prefix,1200,standard_merge_sort,424,230525,yes
common_prefix,1200,string_quick_sort,47,36059,yes
common_prefix,1200,string_merge_sort,435,241325,yes
common_prefix,1200,msd_radix_sort,375,53272,yes
common_prefix,1200,msd_radix_quick_sort,284,55083,yes
common_prefix,1300,standard_quick_sort,276,318702,yes
common_prefix,1300,standard_merge_sort,469,253284,yes
common_prefix,1300,string_quick_sort,53,40600,yes
common_prefix,1300,string_merge_sort,479,265146,yes
common_prefix,1300,msd_radix_sort,414,57756,yes
common_prefix,1300,msd_radix_quick_sort,302,59888,yes
common_prefix,1400,standard_quick_sort,293,335992,yes
common_prefix,1400,standard_merge_sort,514,275571,yes
common_prefix,1400,string_quick_sort,59,42579,yes
common_prefix,1400,string_merge_sort,519,288470,yes
common_prefix,1400,msd_radix_sort,450,62268,yes
common_prefix,1400,msd_radix_quick_sort,330,64684,yes
common_prefix,1500,standard_quick_sort,319,359000,yes
common_prefix,1500,standard_merge_sort,562,298231,yes
common_prefix,1500,string_quick_sort,62,46154,yes
common_prefix,1500,string_merge_sort,566,312187,yes
common_prefix,1500,msd_radix_sort,486,66730,yes
common_prefix,1500,msd_radix_quick_sort,341,69470,yes
common_prefix,1600,standard_quick_sort,336,380110,yes
common_prefix,1600,standard_merge_sort,601,322025,yes
common_prefix,1600,string_quick_sort,69,48586,yes
common_prefix,1600,string_merge_sort,610,337089,yes
common_prefix,1600,msd_radix_sort,511,71208,yes
common_prefix,1600,msd_radix_quick_sort,370,74208,yes
common_prefix,1700,standard_quick_sort,370,429058,yes
common_prefix,1700,standard_merge_sort,641,345045,yes
common_prefix,1700,string_quick_sort,74,53376,yes
common_prefix,1700,string_merge_sort,650,361182,yes
common_prefix,1700,msd_radix_sort,549,75694,yes
common_prefix,1700,msd_radix_quick_sort,391,78960,yes
common_prefix,1800,standard_quick_sort,414,479173,yes
common_prefix,1800,standard_merge_sort,681,368245,yes
common_prefix,1800,string_quick_sort,83,56338,yes
common_prefix,1800,string_merge_sort,696,385462,yes
common_prefix,1800,msd_radix_sort,581,80208,yes
common_prefix,1800,msd_radix_quick_sort,419,83707,yes
common_prefix,1900,standard_quick_sort,422,474078,yes
common_prefix,1900,standard_merge_sort,729,392474,yes
common_prefix,1900,string_quick_sort,87,57334,yes
common_prefix,1900,string_merge_sort,741,410820,yes
common_prefix,1900,msd_radix_sort,619,84722,yes
common_prefix,1900,msd_radix_quick_sort,439,88595,yes
common_prefix,2000,standard_quick_sort,461,536194,yes
common_prefix,2000,standard_merge_sort,772,415354,yes
common_prefix,2000,string_quick_sort,92,62955,yes
common_prefix,2000,string_merge_sort,785,434764,yes
common_prefix,2000,msd_radix_sort,647,89238,yes
common_prefix,2000,msd_radix_quick_sort,454,93516,yes
common_prefix,2100,standard_quick_sort,479,550660,yes
common_prefix,2100,standard_merge_sort,819,439269,yes
common_prefix,2100,string_quick_sort,100,66621,yes
common_prefix,2100,string_merge_sort,831,459791,yes
common_prefix,2100,msd_radix_sort,696,93756,yes
common_prefix,2100,msd_radix_quick_sort,481,98338,yes
common_prefix,2200,standard_quick_sort,509,594993,yes
common_prefix,2200,standard_merge_sort,864,464054,yes
common_prefix,2200,string_quick_sort,107,69605,yes
common_prefix,2200,string_merge_sort,888,485731,yes
common_prefix,2200,msd_radix_sort,729,98312,yes
common_prefix,2200,msd_radix_quick_sort,508,103159,yes
common_prefix,2300,standard_quick_sort,527,602846,yes
common_prefix,2300,standard_merge_sort,910,488195,yes
common_prefix,2300,string_quick_sort,114,74089,yes
common_prefix,2300,string_merge_sort,930,510996,yes
common_prefix,2300,msd_radix_sort,772,102844,yes
common_prefix,2300,msd_radix_quick_sort,535,107987,yes
common_prefix,2400,standard_quick_sort,545,628296,yes
common_prefix,2400,standard_merge_sort,961,513449,yes
common_prefix,2400,string_quick_sort,120,74988,yes
common_prefix,2400,string_merge_sort,971,537423,yes
common_prefix,2400,msd_radix_sort,813,107380,yes
common_prefix,2400,msd_radix_quick_sort,559,112814,yes
common_prefix,2500,standard_quick_sort,555,635502,yes
common_prefix,2500,standard_merge_sort,998,537904,yes
common_prefix,2500,string_quick_sort,125,78973,yes
common_prefix,2500,string_merge_sort,1029,563018,yes
common_prefix,2500,msd_radix_sort,844,111910,yes
common_prefix,2500,msd_radix_quick_sort,571,117684,yes
common_prefix,2600,standard_quick_sort,621,725815,yes
common_prefix,2600,standard_merge_sort,1051,563705,yes
common_prefix,2600,string_quick_sort,135,80911,yes
common_prefix,2600,string_merge_sort,1063,590017,yes
common_prefix,2600,msd_radix_sort,887,116440,yes
common_prefix,2600,msd_radix_quick_sort,592,122676,yes
common_prefix,2700,standard_quick_sort,616,691684,yes
common_prefix,2700,standard_merge_sort,1088,586954,yes
common_prefix,2700,string_quick_sort,141,83639,yes
common_prefix,2700,string_merge_sort,1115,614345,yes
common_prefix,2700,msd_radix_sort,923,120958,yes
common_prefix,2700,msd_radix_quick_sort,613,127480,yes
common_prefix,2800,standard_quick_sort,653,757848,yes
common_prefix,2800,standard_merge_sort,1124,613146,yes
common_prefix,2800,string_quick_sort,147,88923,yes
common_prefix,2800,string_merge_sort,1144,641754,yes
common_prefix,2800,msd_radix_sort,957,125502,yes
common_prefix,2800,msd_radix_quick_sort,646,132254,yes
common_prefix,2900,standard_quick_sort,668,768160,yes
common_prefix,2900,standard_merge_sort,1176,638722,yes
common_prefix,2900,string_quick_sort,155,91586,yes
common_prefix,2900,string_merge_sort,1208,668521,yes
common_prefix,2900,msd_radix_sort,997,130040,yes
common_prefix,2900,msd_radix_quick_sort,660,137361,yes
common_prefix,3000,standard_quick_sort,732,858238,yes
common_prefix,3000,standard_merge_sort,1222,662789,yes
common_prefix,3000,string_quick_sort,165,94751,yes
common_prefix,3000,string_merge_sort,1248,693706,yes
common_prefix,3000,msd_radix_sort,1040,134556,yes
common_prefix,3000,msd_radix_quick_sort,690,142094,yes
